,primes
0,14000029
1,14000033
2,14000059
3,14000071
4,14000083
5,14000087
6,14000089
7,14000141
8,14000153
9,14000179
10,14000183
11,14000209
12,14000221
13,14000227
14,14000257
15,14000281
16,14000291
17,14000309
18,14000339
19,14000341
20,14000369
21,14000377
22,14000383
23,14000423
24,14000447
25,14000453
26,14000461
27,14000471
28,14000477
29,14000507
30,14000509
31,14000527
32,14000551
33,14000563
34,14000573
35,14000579
36,14000599
37,14000603
38,14000611
39,14000621
40,14000627
41,14000647
42,14000653
43,14000669
44,14000681
45,14000711
46,14000713
47,14000731
48,14000761
49,14000771
50,14000801
51,14000807
52,14000821
53,14000827
54,14000839
55,14000863
56,14000927
57,14000947
58,14000953
59,14000963
60,14000977
61,14001007
62,14001019
63,14001023
64,14001041
65,14001061
66,14001079
67,14001107
68,14001121
69,14001137
70,14001151
71,14001179
72,14001199
73,14001209
74,14001223
75,14001257
76,14001283
77,14001311
78,14001313
79,14001329
80,14001341
81,14001343
82,14001371
83,14001373
84,14001389
85,14001401
86,14001419
87,14001431
88,14001433
89,14001437
90,14001451
91,14001469
92,14001479
93,14001509
94,14001527
95,14001539
96,14001551
97,14001563
98,14001599
99,14001601
100,14001607
101,14001643
102,14001653
103,14001661
104,14001667
105,14001671
106,14001707
107,14001709
108,14001721
109,14001763
110,14001769
111,14001907
112,14001919
113,14001941
114,14001971
115,14001989
116,14002003
117,14002007
118,14002063
119,14002091
120,14002117
121,14002139
122,14002141
123,14002187
124,14002201
125,14002211
126,14002213
127,14002217
128,14002223
129,14002231
130,14002253
131,14002267
132,14002277
133,14002283
134,14002291
135,14002301
136,14002309
137,14002319
138,14002321
139,14002333
140,14002357
141,14002363
142,14002369
143,14002379
144,14002403
145,14002409
146,14002427
147,14002501
148,14002507
149,14002553
150,14002579
151,14002589
152,14002609
153,14002631
154,14002643
155,14002657
156,14002693
157,14002697
158,14002717
159,14002727
160,14002739
161,14002777
162,14002789
163,14002811
164,14002819
165,14002843
166,14002873
167,14002889
168,14002897
169,14002921
170,14002931
171,14002939
172,14002997
173,14003009
174,14003023
175,14003029
176,14003047
177,14003051
178,14003063
179,14003071
180,14003081
181,14003083
182,14003089
183,14003107
184,14003137
185,14003141
186,14003149
187,14003153
188,14003177
189,14003203
190,14003219
191,14003233
192,14003239
193,14003243
194,14003261
195,14003267
196,14003273
197,14003281
198,14003293
199,14003309
200,14003357
201,14003369
202,14003377
203,14003417
204,14003419
205,14003441
206,14003443
207,14003447
208,14003449
209,14003453
210,14003489
211,14003503
212,14003531
213,14003581
214,14003609
215,14003623
216,14003641
217,14003651
218,14003657
219,14003669
220,14003687
221,14003719
222,14003753
223,14003807
224,14003813
225,14003867
226,14003881
227,14003917
228,14003981
229,14004041
230,14004047
231,14004091
232,14004103
233,14004113
234,14004127
235,14004131
236,14004143
237,14004149
238,14004169
239,14004191
240,14004223
241,14004229
242,14004233
243,14004257
244,14004271
245,14004313
246,14004317
247,14004337
248,14004359
249,14004377
250,14004383
251,14004391
252,14004427
253,14004437
254,14004439
255,14004443
256,14004451
257,14004461
258,14004469
259,14004479
260,14004491
261,14004499
262,14004503
263,14004527
264,14004547
265,14004553
266,14004581
267,14004587
268,14004589
269,14004619
270,14004629
271,14004643
272,14004649
273,14004707
274,14004737
275,14004779
276,14004827
277,14004829
278,14004847
279,14004853
280,14004899
281,14004911
282,14004937
283,14004959
284,14004967
285,14004973
286,14004979
287,14004983
288,14004989
289,14004997
290,14005003
291,14005027
292,14005039
293,14005049
294,14005063
295,14005081
296,14005097
297,14005133
298,14005153
299,14005163
300,14005169
301,14005177
302,14005181
303,14005193
304,14005207
305,14005213
306,14005217
307,14005241
308,14005249
309,14005253
310,14005259
311,14005309
312,14005349
313,14005363
314,14005393
315,14005403
316,14005423
317,14005429
318,14005447
319,14005469
320,14005471
321,14005493
322,14005507
323,14005517
324,14005529
325,14005567
326,14005571
327,14005591
328,14005601
329,14005619
330,14005697
331,14005709
332,14005711
333,14005741
334,14005757
335,14005759
336,14005799
337,14005829
338,14005843
339,14005847
340,14005861
341,14005867
342,14005877
343,14005889
344,14005897
345,14005903
346,14005931
347,14005933
348,14005963
349,14005967
350,14005991
351,14005993
352,14005997
353,14006029
354,14006033
355,14006039
356,14006071
357,14006107
358,14006119
359,14006129
360,14006131
361,14006137
362,14006171
363,14006183
364,14006191
365,14006219
366,14006227
367,14006231
368,14006233
369,14006263
370,14006273
371,14006299
372,14006309
373,14006339
374,14006341
375,14006353
376,14006357
377,14006359
378,14006381
379,14006411
380,14006413
381,14006429
382,14006459
383,14006467
384,14006483
385,14006501
386,14006527
387,14006539
388,14006569
389,14006633
390,14006639
391,14006647
392,14006653
393,14006669
394,14006711
395,14006717
396,14006749
397,14006803
398,14006807
399,14006821
400,14006833
401,14006849
402,14006851
403,14006873
404,14006887
405,14006921
406,14006939
407,14006959
408,14006969
409,14006981
410,14007011
411,14007067
412,14007083
413,14007089
414,14007101
415,14007137
416,14007143
417,14007157
418,14007181
419,14007187
420,14007193
421,14007197
422,14007209
423,14007223
424,14007229
425,14007233
426,14007239
427,14007241
428,14007277
429,14007283
430,14007307
431,14007311
432,14007347
433,14007359
434,14007373
435,14007401
436,14007403
437,14007407
438,14007419
439,14007421
440,14007431
441,14007467
442,14007517
443,14007523
444,14007547
445,14007559
446,14007577
447,14007583
448,14007599
